Goal,Diet Type,Workout Type,Day,Meal Type,Recipe,Calories (kcal),Protein (g),Carbs (g),Fats (g),Exercise Plan,Instruction,Beauty Goal,Beauty Drink Recommendation,Beauty Food Focus,Beauty Care Instruction,,,url
Weight Maintain,Non-Vegetarian,Gym,Day 14,Dinner,Fish Curry,589,38,49.7,28.1,Stretching,Weight Maintain focused training,Glowing Skin,Carrot juice,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 12,Dinner,Grilled Chicken Salad,730,14.8,51.3,12.5,Yoga,Weight Maintain focused training,Anti-Aging,Green tea,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 30,Snack,Grilled Chicken Salad,367,17.1,87.3,10,Cardio,Weight Maintain focused training,Anti-Aging,Coconut water,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 14,Breakfast,Chickpea Salad,567,13.2,37.7,15.5,Yoga,Weight Gain focused training,Fresh Blood Circulation,Turmeric milk,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 26,Breakfast,Tofu Stir Fry,456,44.4,44,23.6,Stretching,Weight Loss focused training,Glowing Skin,Turmeric milk,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 5,Dinner,Chickpea Salad,663,35.4,42.6,22.7,Yoga,Weight Gain focused training,Clear Skin,Green tea,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 22,Dinner,Fish Curry,425,37.7,36,24.2,HIIT,Weight Loss focused training,Hair Growth,Warm lemon water,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 27,Snack,Veg Khichdi,467,14.9,51.4,13.7,HIIT,Weight Maintain focused training,Anti-Aging,Warm lemon water,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 3,Snack,Lentil Soup,352,38.9,28.4,23.1,Yoga,Weight Maintain focused training,Clear Skin,Coconut water,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 28,Dinner,Tofu Stir Fry,406,20.5,65,24.1,Cardio,Weight Maintain focused training,Fresh Blood Circulation,Amla juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 15,Breakfast,Paneer Bowl,285,29.2,57.4,25.6,Stretching,Weight Loss focused training,Fresh Blood Circulation,Beetroot juice,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 13,Breakfast,Chicken Rice,305,44.6,33.7,22.8,Stretching,Weight Maintain focused training,Reduce Pimples,Warm lemon water,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 3,Snack,Egg Omelette,342,25.1,23.9,9.6,Strength Training,Weight Gain focused training,Glowing Skin,Warm lemon water,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 6,Snack,Vegan Smoothie,450,24,22.8,20.5,Cardio,Weight Loss focused training,Reduce Pimples,Turmeric milk,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 17,Lunch,Lentil Soup,458,10.1,74,26,HIIT,Weight Maintain focused training,Clear Skin,Amla juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 10,Breakfast,Dal & Rice,500,23.8,53.5,24.6,HIIT,Weight Maintain focused training,Reduce Pimples,Carrot juice,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
